Justice,Description,President,Trivial Facts, , , , ,,,,,,,,,,,,,,,,,
Noah Haynes Swayne,"Noah Haynes Swayne (Justice #35) was born in OH and served on the Supreme Court during the years 1862?1881
(18?19 years)",Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,
Samuel Freeman Miller,"Samuel Freeman Miller (Justice #36) was born in IA and served on the Supreme Court during the years 1862?1890
(27?28 years)",Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,
David Davis,"David Davis (Justice #37) was born in IL and served on the Supreme Court during the years 1862?1877
(14?15 years)",Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,
Stephen Johnson Field,"Stephen Johnson Field (Justice #38) was born in CA and served on the Supreme Court during the years 1863?1897
(33?34 years)",Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,
Salmon P. Chase,"Salmon P. Chase (Justice #39) was born in OH and served on the Supreme Court during the years 1864?1873
(8?9 years)",Abraham Lincoln,,,,,,,,,,,,,,,,,,,,,,
William Strong,"William Strong (Justice #40) was born in PA and served on the Supreme Court during the years 1870?1880
(9?10 years)",Ulysses S. Grant,,,,,,,,,,,,,,,,,,,,,,
Joseph P. Bradley,"Joseph P. Bradley (Justice #41) was born in NJ and served on the Supreme Court during the years 1870?1892
(21?22 years)",Ulysses S. Grant,,,,,,,,,,,,,,,,,,,,,,
Ward Hunt,"Ward Hunt (Justice #42) was born in NY and served on the Supreme Court during the years 1873?1882
(8?9 years)",Ulysses S. Grant,,,,,,,,,,,,,,,,,,,,,,
Morrison Waite,"Morrison Waite (Justice #43) was born in OH and served on the Supreme Court during the years 1874?1888
(13?14 years)",Ulysses S. Grant,,,,,,,,,,,,,,,,,,,,,,
John Marshall Harlan,"John Marshall Harlan (Justice #44) was born in KY and served on the Supreme Court during the years 1877?1911
(33?34 years)",Rutherford B. Hayes,,,,,,,,,,,,,,,,,,,,,,
William Burnham Woods,"William Burnham Woods (Justice #45) was born in AL and served on the Supreme Court during the years 1881?1887
(5?6 years)",Rutherford B. Hayes,,,,,,,,,,,,,,,,,,,,,,
Stanley Matthews,"Stanley Matthews (Justice #46) was born in OH and served on the Supreme Court during the years 1881?1889
(7?8 years)",James A. Garfield,,,,,,,,,,,,,,,,,,,,,,
Horace Gray,"Horace Gray (Justice #47) was born in MA and served on the Supreme Court during the years 1882?1902
(19?20 years)",Chester A. Arthur,,,,,,,,,,,,,,,,,,,,,,
Samuel Blatchford,"Samuel Blatchford (Justice #48) was born in NY and served on the Supreme Court during the years 1882?1893
(10?11 years)",Chester A. Arthur,,,,,,,,,,,,,,,,,,,,,,
Lucius Quintus Cincinnatus Lamar,"Lucius Quintus Cincinnatus Lamar (Justice #49) was born in MS and served on the Supreme Court during the years 1888?1893
(4?5 years)",James A. Garfield,,,,,,,,,,,,,,,,,,,,,,
Melville Fuller¢Ó,"Melville Fuller¢Ó (Justice #50) was born in IL and served on the Supreme Court during the years 1888?1910
(21?22 years)",Grover Cleveland,,,,,,,,,,,,,,,,,,,,,,
David Josiah Brewer,"David Josiah Brewer (Justice #51) was born in KS and served on the Supreme Court during the years 1890?1910
(19?20 years)",Benjamin Harrison,,,,,,,,,,,,,,,,,,,,,,
Henry Billings Brown,"Henry Billings Brown (Justice #52) was born in MI and served on the Supreme Court during the years 1891?1906
(14?15 years)",Benjamin Harrison,,,,,,,,,,,,,,,,,,,,,,
"George Shiras, Jr.","George Shiras, Jr. (Justice #53) was born in PA and served on the Supreme Court during the years 1892?1903
(10?11 years)",Benjamin Harrison,,,,,,,,,,,,,,,,,,,,,,
Howell Edmunds Jackson,"Howell Edmunds Jackson (Justice #54) was born in TN and served on the Supreme Court during the years 1893?1895
(1?2 years)",Benjamin Harrison,,,,,,,,,,,,,,,,,,,,,,
Edward Douglass White¢Ó,"Edward Douglass White¢Ó (Justice #55) was born in LA and served on the Supreme Court during the years 1894?1921
(26?27 years)",Grover Cleveland,,,,,,,,,,,,,,,,,,,,,,
Rufus Wheeler Peckham,"Rufus Wheeler Peckham (Justice #56) was born in NY and served on the Supreme Court during the years 1896?1909
(12?13 years)",Grover Cleveland,,,,,,,,,,,,,,,,,,,,,,
Joseph McKenna,"Joseph McKenna (Justice #57) was born in CA and served on the Supreme Court during the years 1898?1925
(26?27 years)",William McKinley,,,,,,,,,,,,,,,,,,,,,,
"Oliver Wendell Holmes, Jr.","Oliver Wendell Holmes, Jr. (Justice #58) was born in MA and served on the Supreme Court during the years 1902?1932
(29?30 years)",Theodore Roosevelt,Oldest justice to serve (retired at age 90),,,,,,,,,,,,,,,,,,,,,
William R. Day,"William R. Day (Justice #59) was born in OH and served on the Supreme Court during the years 1903?1922
(18?19 years)",Theodore Roosevelt,,,,,,,,,,,,,,,,,,,,,,
William Henry Moody,"William Henry Moody (Justice #60) was born in MA and served on the Supreme Court during the years 1906?1910
(3?4 years)",Theodore Roosevelt,,,,,,,,,,,,,,,,,,,,,,
Horace Harmon Lurton,"Horace Harmon Lurton (Justice #61) was born in TN and served on the Supreme Court during the years 1910?1914
(3?4 years)",William Howard Taft,Oldest Justice Appointed,,,,,,,,,,,,,,,,,,,,,
Charles Evans Hughes,"Charles Evans Hughes (Justice #62) was born in NY and served on the Supreme Court during the years 1910?1916
(5?6 years)",William Howard Taft,,,,,,,,,,,,,,,,,,,,,,
Willis Van Devanter,"Willis Van Devanter (Justice #63) was born in WY and served on the Supreme Court during the years 1911?1937
(25?26 years)",William Howard Taft,,,,,,,,,,,,,,,,,,,,,,
Joseph Rucker Lamar,"Joseph Rucker Lamar (Justice #64) was born in GA and served on the Supreme Court during the years 1911?1916
(4?5 years)",William Howard Taft,,,,,,,,,,,,,,,,,,,,,,
Mahlon Pitney,"Mahlon Pitney (Justice #65) was born in NJ and served on the Supreme Court during the years 1912?1922
(9?10 years)",William Howard Taft,,,,,,,,,,,,,,,,,,,,,,
James Clark McReynolds,"James Clark McReynolds (Justice #66) was born in TN and served on the Supreme Court during the years 1914?1941
(26?27 years)",Woodrow Wilson,,,,,,,,,,,,,,,,,,,,,,
Louis Brandeis,"Louis Brandeis (Justice #67) was born in MA and served on the Supreme Court during the years 1916?1939
(22?23 years)",Woodrow Wilson,First Jewish justice: Louis Brandeis,,,,,,,,,,,,,,,,,,,,,
John Hessin Clarke,"John Hessin Clarke (Justice #68) was born in OH and served on the Supreme Court during the years 1916?1922
(5?6 years)",Woodrow Wilson,,,,,,,,,,,,,,,,,,,,,,
William Howard Taft¢Ó,"William Howard Taft¢Ó (Justice #69) was born in OH and served on the Supreme Court during the years 1921?1930
(8?9 years)",Warren G. Harding,,,,,,,,,,,,,,,,,,,,,,
George Sutherland,"George Sutherland (Justice #70) was born in UT and served on the Supreme Court during the years 1922?1938
(15?16 years)",Warren G. Harding,,,,,,,,,,,,,,,,,,,,,,
Pierce Butler,"Pierce Butler (Justice #71) was born in MN and served on the Supreme Court during the years 1923?1939
(15?16 years)",Warren G. Harding,,,,,,,,,,,,,,,,,,,,,,
Edward Terry Sanford,"Edward Terry Sanford (Justice #72) was born in TN and served on the Supreme Court during the years 1923?1930
(6?7 years)",Warren G. Harding,,,,,,,,,,,,,,,,,,,,,,
